iter	Passed	Remaining
0	142	427782
1	278	416780
2	426	425782
3	588	440661
4	724	433680
5	851	424951
6	1003	429219
7	1209	452425
8	1381	458981
9	1518	454166
10	1648	447849
11	1803	449040
12	1954	449155
13	2090	445910
14	2261	449950
15	2413	450186
16	2555	448457
17	2704	448058
18	2842	445935
19	2984	444621
20	3143	445886
21	3307	447759
22	3436	444767
23	3577	443587
24	3724	443244
25	3914	447778
26	4070	448215
27	4178	443468
28	4348	445454
29	4494	444943
30	4635	443993
31	4789	444236
32	4939	444129
33	5075	442766
34	5224	442616
35	5377	442732
36	5548	444325
37	5716	445619
38	5843	443664
39	5996	443744
40	6135	442824
41	6311	444507
42	6457	444031
43	6590	442786
44	6738	442464
45	6896	442864
46	7040	442370
47	7268	447016
48	7492	451235
49	7647	451224
50	7805	451352
51	7996	453330
52	8178	454741
53	8332	454599
54	8472	453677
55	8632	453813
56	8814	455121
57	8998	456436
58	9162	456745
